통계년월,통계시도명,통계시군구명,수급자구분,성별,연령구간,수급자수
201905,서울특별시,광진구,일반수급자,남성,19~29세,209
201905,서울특별시,광진구,조건부수급자,여성,70~74세,7
201905,서울특별시,광진구,조건부수급자,여성,75~79세,4
201905,서울특별시,광진구,조건부수급자,여성,80~89세,2
201905,서울특별시,광진구,조건부수급자,여성,90세이상,3
201905,서울특별시,광진구,일반수급자,남성,30~39세,139
201905,서울특별시,광진구,시설수급자,남성,50~59세,2
201905,서울특별시,광진구,시설수급자,남성,60~64세,1
201905,서울특별시,광진구,시설수급자,남성,65~69세,2
201905,서울특별시,광진구,시설수급자,남성,70~74세,1
201905,서울특별시,광진구,일반수급자,남성,40~49세,339
201905,서울특별시,광진구,시설수급자,남성,75~79세,2
201905,서울특별시,광진구,시설수급자,남성,90세이상,1
201905,서울특별시,광진구,시설수급자,여성,7~12세,1
201905,서울특별시,광진구,시설수급자,여성,30~39세,1
201905,서울특별시,광진구,시설수급자,여성,40~49세,1
201905,서울특별시,광진구,시설수급자,여성,50~59세,1
201905,서울특별시,광진구,시설수급자,여성,60~64세,1
201905,서울특별시,광진구,시설수급자,여성,65~69세,3
201905,서울특별시,광진구,일반수급자,남성,50~59세,688
201905,서울특별시,광진구,시설수급자,여성,75~79세,12
201905,서울특별시,광진구,시설수급자,여성,80~89세,28
201905,서울특별시,광진구,시설수급자,여성,90세이상,18
201905,서울특별시,광진구,특례수급자,남성,7세미만,1
201905,서울특별시,광진구,특례수급자,남성,7~12세,1
201905,서울특별시,광진구,특례수급자,남성,13~15세,4
201905,서울특별시,광진구,특례수급자,남성,16~18세,1
201905,서울특별시,광진구,특례수급자,남성,19~29세,15
201905,서울특별시,광진구,특례수급자,남성,40~49세,11
201905,서울특별시,광진구,특례수급자,남성,50~59세,30
201905,서울특별시,광진구,일반수급자,남성,60~64세,342
201905,서울특별시,광진구,특례수급자,남성,60~64세,18
201905,서울특별시,광진구,특례수급자,남성,65~69세,5
201905,서울특별시,광진구,특례수급자,남성,70~74세,4
201905,서울특별시,광진구,특례수급자,남성,75~79세,2
201905,서울특별시,광진구,특례수급자,남성,80~89세,5
201905,서울특별시,광진구,특례수급자,여성,7세미만,3
201905,서울특별시,광진구,특례수급자,여성,7~12세,2
201905,서울특별시,광진구,특례수급자,여성,13~15세,2
201905,서울특별시,광진구,특례수급자,여성,16~18세,2
201905,서울특별시,광진구,특례수급자,여성,19~29세,16
201905,서울특별시,광진구,특례수급자,여성,30~39세,4
201905,서울특별시,광진구,특례수급자,여성,40~49세,14
201905,서울특별시,광진구,특례수급자,여성,50~59세,22
201905,서울특별시,광진구,특례수급자,여성,60~64세,7
201905,서울특별시,광진구,특례수급자,여성,65~69세,8
201905,서울특별시,광진구,특례수급자,여성,70~74세,6
201905,서울특별시,광진구,특례수급자,여성,75~79세,7
201905,서울특별시,광진구,특례수급자,여성,80~89세,8
201905,서울특별시,광진구,일반수급자,남성,65~69세,322
201905,서울특별시,광진구,특례수급자,여성,90세이상,1
201905,서울특별시,광진구,일반수급자,남성,70~74세,275
201905,서울특별시,광진구,일반수급자,남성,7~12세,279
201905,서울특별시,광진구,일반수급자,남성,75~79세,187
201905,서울특별시,광진구,일반수급자,남성,80~89세,166
201905,서울특별시,광진구,일반수급자,남성,90세이상,11
201905,서울특별시,광진구,일반수급자,여성,7세미만,93
201905,서울특별시,광진구,일반수급자,여성,7~12세,279
201905,서울특별시,광진구,일반수급자,여성,13~15세,175
201905,서울특별시,광진구,일반수급자,여성,16~18세,221
201905,서울특별시,광진구,일반수급자,여성,19~29세,269
201905,서울특별시,광진구,일반수급자,여성,30~39세,170
201905,서울특별시,광진구,일반수급자,여성,40~49세,405
201905,서울특별시,광진구,일반수급자,남성,13~15세,184
201905,서울특별시,광진구,일반수급자,여성,50~59세,543
201905,서울특별시,광진구,일반수급자,여성,60~64세,331
201905,서울특별시,광진구,일반수급자,여성,65~69세,362
201905,서울특별시,광진구,일반수급자,여성,70~74세,361
201905,서울특별시,광진구,일반수급자,여성,75~79세,404
201905,서울특별시,광진구,일반수급자,여성,80~89세,496
201905,서울특별시,광진구,일반수급자,여성,90세이상,84
201905,서울특별시,광진구,조건부수급자,남성,7세미만,15
201905,서울특별시,광진구,조건부수급자,남성,7~12세,43
201905,서울특별시,광진구,조건부수급자,남성,13~15세,39
201905,서울특별시,광진구,조건부수급자,남성,16~18세,53
201905,서울특별시,광진구,조건부수급자,남성,19~29세,125
201905,서울특별시,광진구,조건부수급자,남성,30~39세,22
201905,서울특별시,광진구,일반수급자,남성,16~18세,226
201905,서울특별시,광진구,조건부수급자,남성,40~49세,83
201905,서울특별시,광진구,조건부수급자,남성,50~59세,164
201905,서울특별시,광진구,조건부수급자,남성,60~64세,84
201905,서울특별시,광진구,조건부수급자,남성,65~69세,13
201905,서울특별시,광진구,일반수급자,남성,7세미만,90
201905,서울특별시,광진구,조건부수급자,남성,70~74세,1
